,Teams
0,0.0
1,0.08
2,0.09
3,0.11
4,0.13
5,0.14
6,0.17
7,0.2
8,0.22
9,0.25
10,0.27
11,0.29
12,0.3
13,0.31
14,0.33
15,0.36
16,0.38
17,0.4
18,0.42
19,0.43
20,0.44
21,0.45
22,0.46
23,0.47
24,0.5
25,0.53
26,0.54
27,0.55
28,0.56
29,0.57
30,0.58
31,0.6
32,0.62
33,0.64
34,0.67
35,0.7
36,0.71
37,0.73
38,0.75
39,0.77
40,0.78
41,0.79
42,0.8
43,0.81
44,0.82
45,0.83
46,0.87
47,0.89
48,0.9
49,0.91
50,1.0
